Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons,Overall Review,Overall Review with Title,Sentiment,Check
VMware,2,10/12/2023,na,sr manager sales,current employee,"Virginia Beach, VA",extended sales teams are great,old boys network is alive and well,extended sales teams are great old boys network is alive and well,na // extended sales teams are great old boys network is alive and well,Negative,
ST Electronics (Singapore),2,11/10/2022,great for fresh grad,assistant engineer,former employee more than 1 year,"Jurong East New Town, ",opportunity to learn and exposure,the salary below market rate,opportunity to learn and exposure the salary below market rate,great for fresh grad // opportunity to learn and exposure the salary below market rate,Negative,
Wipro,2,28/1/2024,your headline should show readers how your review can help them solve a problem or make a decision,remote support engineer,current employee more than 8 years,Thāne,i believe that working provide me with the opportunity to combine my professional expertise with my passion for making a difference,in a large company it can take forever to get things done the hiring process can take a long time when you work in a large company its a harder to be noticed its hard to affect change in a big company or feel like you make a difference,i believe that working provide me with the opportunity to combine my professional expertise with my passion for making a difference in a large company it can take forever to get things done the hiring process can take a long time when you work in a large company its a harder to be noticed its hard to affect change in a big company or feel like you make a difference,your headline should show readers how your review can help them solve a problem or make a decision // i believe that working provide me with the opportunity to combine my professional expertise with my passion for making a difference in a large company it can take forever to get things done the hiring process can take a long time when you work in a large company its a harder to be noticed its hard to affect change in a big company or feel like you make a difference,Negative,
CSC,2,19/7/2014,increasingly hogtied by intrusive corporate politics,principal analyst and software manager,current employee more than 10 years,"Egg Harbor Township, NJ",many good people loyal to project objectives some exciting work for the faa at the wjhtc in the recent past,increasing interference from csc top management tendency to apply a one size fits all model to employees appears to believe that training programs are the answer to every challenge csc has a generous but naive notion that anyone can be trained to do anything and doesnt particularly care whether workers have a matching academic background many ot the employees and staff have degrees in totally unrelated areas eg marine biology and have never written a line of code in their lives this makes it hard for them to establish realistic project milestones and control customer expectations,many good people loyal to project objectives some exciting work for the faa at the wjhtc in the recent past increasing interference from csc top management tendency to apply a one size fits all model to employees appears to believe that training programs are the answer to every challenge csc has a generous but naive notion that anyone can be trained to do anything and doesnt particularly care whether workers have a matching academic background many ot the employees and staff have degrees in totally unrelated areas eg marine biology and have never written a line of code in their lives this makes it hard for them to establish realistic project milestones and control customer expectations,increasingly hogtied by intrusive corporate politics // many good people loyal to project objectives some exciting work for the faa at the wjhtc in the recent past increasing interference from csc top management tendency to apply a one size fits all model to employees appears to believe that training programs are the answer to every challenge csc has a generous but naive notion that anyone can be trained to do anything and doesnt particularly care whether workers have a matching academic background many ot the employees and staff have degrees in totally unrelated areas eg marine biology and have never written a line of code in their lives this makes it hard for them to establish realistic project milestones and control customer expectations,Negative,
ST Electronics (Singapore),2,27/10/2022,just an average company,engineer,current employee more than 3 years,Singapore,good working colleagues free parking if you drive canteen food cheaper than outside,slow pace with alot of red tape and redundant process to follow salary below market rate and lousy annual increment benefits is alright so dont expect much and the management is a mess with top down structure,good working colleagues free parking if you drive canteen food cheaper than outside slow pace with alot of red tape and redundant process to follow salary below market rate and lousy annual increment benefits is alright so dont expect much and the management is a mess with top down structure,just an average company // good working colleagues free parking if you drive canteen food cheaper than outside slow pace with alot of red tape and redundant process to follow salary below market rate and lousy annual increment benefits is alright so dont expect much and the management is a mess with top down structure,Negative,
DXC Technology,2,10/1/2024,big bureaucracy too focused on money less focused on the product,software engineer,current employee more than 1 year,Amsterdam,1 decent salary 2 highly experienced developers 3 good company benifit ecosystem,1 no salary increases 2 doesnt move onto new tech a bit stuck in their legacy thinking 3 time management system keeps changing and is a hassle 4 managers allow clients to demand too much 5 uses lack of funds as an excuse to spread developers thin on projects when more developers are needed on high load projects 6 clients have unrealistic expectations and have an unhealthy relationship with managers 7 lack of documentation and knowledge transfer,1 decent salary 2 highly experienced developers 3 good company benifit ecosystem 1 no salary increases 2 doesnt move onto new tech a bit stuck in their legacy thinking 3 time management system keeps changing and is a hassle 4 managers allow clients to demand too much 5 uses lack of funds as an excuse to spread developers thin on projects when more developers are needed on high load projects 6 clients have unrealistic expectations and have an unhealthy relationship with managers 7 lack of documentation and knowledge transfer,big bureaucracy too focused on money less focused on the product // 1 decent salary 2 highly experienced developers 3 good company benifit ecosystem 1 no salary increases 2 doesnt move onto new tech a bit stuck in their legacy thinking 3 time management system keeps changing and is a hassle 4 managers allow clients to demand too much 5 uses lack of funds as an excuse to spread developers thin on projects when more developers are needed on high load projects 6 clients have unrealistic expectations and have an unhealthy relationship with managers 7 lack of documentation and knowledge transfer,Negative,
Qualcomm,2,20/2/2024,its okay,senior it auditor,current employee less than 1 year,"San Diego, CA",good pay and hqs in san diego is a beautiful place to live,horrible culture and environment work expectation over weekends and evenings,good pay and hqs in san diego is a beautiful place to live horrible culture and environment work expectation over weekends and evenings,its okay // good pay and hqs in san diego is a beautiful place to live horrible culture and environment work expectation over weekends and evenings,Negative,
NielsenIQ,2,28/1/2024,good learning experience,executive research analyst,former employee more than 1 year,Sharjah,lovely people all willing to support in order to achieve your objectives,no work life balance due to the high amount of projects but lack of staff not enough appreciation and no incentive,lovely people all willing to support in order to achieve your objectives no work life balance due to the high amount of projects but lack of staff not enough appreciation and no incentive,good learning experience // lovely people all willing to support in order to achieve your objectives no work life balance due to the high amount of projects but lack of staff not enough appreciation and no incentive,Negative,
X,2,28/12/2023,x,staff software engineer,current employee,"San Jose, CA",not many pros except commute,city commute safety work life balance,not many pros except commute city commute safety work life balance,x // not many pros except commute city commute safety work life balance,Negative,
Oracle,2,10/2/2024,disjointed poorly managed remarkably bad internal technology,sr account executive,former employee less than 1 year,"West Palm Beach, FL",large well known company diverse technology stack,amazingly poor management extremely top heavy and bureaucratic internal systems are a nightmare training is atrocious onboarding is laughable the company is just too big and to complex to get things right,large well known company diverse technology stack amazingly poor management extremely top heavy and bureaucratic internal systems are a nightmare training is atrocious onboarding is laughable the company is just too big and to complex to get things right,disjointed poorly managed remarkably bad internal technology // large well known company diverse technology stack amazingly poor management extremely top heavy and bureaucratic internal systems are a nightmare training is atrocious onboarding is laughable the company is just too big and to complex to get things right,Negative,
Atos,2,20/8/2023,good starter company,technical support engineer,former employee more than 8 years,"Mason, OH",good for just out of college,too much favoritism and no advancement due to favoritism,good for just out of college too much favoritism and no advancement due to favoritism,good starter company // good for just out of college too much favoritism and no advancement due to favoritism,Negative,
Citrix,2,29/10/2022,used to be a great place to work in,senior technical consultant,current employee more than 8 years,"Fort Lauderdale, FL",outstanding camaraderie and support from peers and coworkers solid teamwork within our department through thick and thin,underpaid and overworked senior directors and managers who are barely present yet make decisions based on unreliable data negatively impacting the business and employees livelihoods expense cutting resulted in zero growth opportunities for the last 3 years and counting recently bought out by another company and its future looks pretty bleak morale is at an all time low and resources are leaving in droves for better job opportunities at better paying companies,outstanding camaraderie and support from peers and coworkers solid teamwork within our department through thick and thin underpaid and overworked senior directors and managers who are barely present yet make decisions based on unreliable data negatively impacting the business and employees livelihoods expense cutting resulted in zero growth opportunities for the last 3 years and counting recently bought out by another company and its future looks pretty bleak morale is at an all time low and resources are leaving in droves for better job opportunities at better paying companies,used to be a great place to work in // outstanding camaraderie and support from peers and coworkers solid teamwork within our department through thick and thin underpaid and overworked senior directors and managers who are barely present yet make decisions based on unreliable data negatively impacting the business and employees livelihoods expense cutting resulted in zero growth opportunities for the last 3 years and counting recently bought out by another company and its future looks pretty bleak morale is at an all time low and resources are leaving in droves for better job opportunities at better paying companies,Negative,
Ingram Micro,2,30/3/2023,exceptional talent mediocre pay slow gotomarket strategy employee layoffs 200+ this year,solutions sales specialist ii,current employee more than 5 years,"Buffalo, NY",the people are actually awesome here and ingram has won best place to work but to peer behind the curtain most people leave after 35 years due to low pay no development path and poor sales strategy due to incompetent middle managers who dont have any sales ideas themselves hybrid role only having to work in office two days a week atrium with aramark decent food the free food listed on other reviews are primarily for presales engineers or vendor team,the compensation offered by ingram is below average despite their claim of paying market value they forget that remote jobs are a thing since covid and they pay double or triple the base pay at ingram while they love to tout their company culture as a retention factor the recent trend of high turnover with both people leaving and being let go is quite concerning ingram micro will be going public in the summerfall of 2023 and as a result they are laying off employees in batches to streamline operations tenured employees are not safe at ingram they decided to not even host their annual sales kickoff event which is pretty embarrassing on a global stage good luck getting a promotion due to favoritism which is rampant at ingram micro,the people are actually awesome here and ingram has won best place to work but to peer behind the curtain most people leave after 35 years due to low pay no development path and poor sales strategy due to incompetent middle managers who dont have any sales ideas themselves hybrid role only having to work in office two days a week atrium with aramark decent food the free food listed on other reviews are primarily for presales engineers or vendor team the compensation offered by ingram is below average despite their claim of paying market value they forget that remote jobs are a thing since covid and they pay double or triple the base pay at ingram while they love to tout their company culture as a retention factor the recent trend of high turnover with both people leaving and being let go is quite concerning ingram micro will be going public in the summerfall of 2023 and as a result they are laying off employees in batches to streamline operations tenured employees are not safe at ingram they decided to not even host their annual sales kickoff event which is pretty embarrassing on a global stage good luck getting a promotion due to favoritism which is rampant at ingram micro,exceptional talent mediocre pay slow gotomarket strategy employee layoffs 200+ this year // the people are actually awesome here and ingram has won best place to work but to peer behind the curtain most people leave after 35 years due to low pay no development path and poor sales strategy due to incompetent middle managers who dont have any sales ideas themselves hybrid role only having to work in office two days a week atrium with aramark decent food the free food listed on other reviews are primarily for presales engineers or vendor team the compensation offered by ingram is below average despite their claim of paying market value they forget that remote jobs are a thing since covid and they pay double or triple the base pay at ingram while they love to tout their company culture as a retention factor the recent trend of high turnover with both people leaving and being let go is quite concerning ingram micro will be going public in the summerfall of 2023 and as a result they are laying off employees in batches to streamline operations tenured employees are not safe at ingram they decided to not even host their annual sales kickoff event which is pretty embarrassing on a global stage good luck getting a promotion due to favoritism which is rampant at ingram micro,Negative,
Synapxe,2,22/10/2023,poor work culture,cyber security engineer,current employee more than 1 year,Singapore,work from home alternate weeks,lack of manpower and need at least 2 primary engineer everyday,work from home alternate weeks lack of manpower and need at least 2 primary engineer everyday,poor work culture // work from home alternate weeks lack of manpower and need at least 2 primary engineer everyday,Negative,
Capgemini,2,7/9/2023,worst msp to work for,anonymous employee,current employee more than 1 year,"Tampa, FL",above average pay for call center tech support role with benefits if you opt in company will place you in a temporary bench ifwhen client youre assigned to ends contract and awaiting new assignment with pay during the time waiting but the max time is subject to change at any time per companys decision if the team your on is short staffed it wont stay that way for long,they will claim theres possibility to move to another roleclient after being with them for a year but what they wont say is that if you want to advance to anything beyond call center that there is no growth opportunities unless you move to india and apply to join their offshore companydivision instead they will lie and tell you that you gain increase in pay upon positive annual review what they dont tell you is that even if you do get a good annual review theres no guarantee you get pay raise might as well expect it to simply not happen unless you get promoted instead but to what when theres no roles available to get promoted to starting to see the problem they do not stay consistent with any promises they make including those made during interview process,above average pay for call center tech support role with benefits if you opt in company will place you in a temporary bench ifwhen client youre assigned to ends contract and awaiting new assignment with pay during the time waiting but the max time is subject to change at any time per companys decision if the team your on is short staffed it wont stay that way for long they will claim theres possibility to move to another roleclient after being with them for a year but what they wont say is that if you want to advance to anything beyond call center that there is no growth opportunities unless you move to india and apply to join their offshore companydivision instead they will lie and tell you that you gain increase in pay upon positive annual review what they dont tell you is that even if you do get a good annual review theres no guarantee you get pay raise might as well expect it to simply not happen unless you get promoted instead but to what when theres no roles available to get promoted to starting to see the problem they do not stay consistent with any promises they make including those made during interview process,worst msp to work for // above average pay for call center tech support role with benefits if you opt in company will place you in a temporary bench ifwhen client youre assigned to ends contract and awaiting new assignment with pay during the time waiting but the max time is subject to change at any time per companys decision if the team your on is short staffed it wont stay that way for long they will claim theres possibility to move to another roleclient after being with them for a year but what they wont say is that if you want to advance to anything beyond call center that there is no growth opportunities unless you move to india and apply to join their offshore companydivision instead they will lie and tell you that you gain increase in pay upon positive annual review what they dont tell you is that even if you do get a good annual review theres no guarantee you get pay raise might as well expect it to simply not happen unless you get promoted instead but to what when theres no roles available to get promoted to starting to see the problem they do not stay consistent with any promises they make including those made during interview process,Negative,
VMware,2,22/9/2023,this place used to be amazing,manager,current employee more than 10 years,"Austin, TX",the people the technology the vmw way so long as its still vmw,right now almost everything so many people have completely checked out its getting very difficult to get real work done the different product groups are still trying to push their products to try to seem relevant once bc takes over products arent ready for prime time but exec leadership keeps announcing things and signing agreements that simply wont work maybe they think that by rolling out a bunch of programs that require handholding some peoples jobs will be saved bc hasnt shown any history of that mattering one bit,the people the technology the vmw way so long as its still vmw right now almost everything so many people have completely checked out its getting very difficult to get real work done the different product groups are still trying to push their products to try to seem relevant once bc takes over products arent ready for prime time but exec leadership keeps announcing things and signing agreements that simply wont work maybe they think that by rolling out a bunch of programs that require handholding some peoples jobs will be saved bc hasnt shown any history of that mattering one bit,this place used to be amazing // the people the technology the vmw way so long as its still vmw right now almost everything so many people have completely checked out its getting very difficult to get real work done the different product groups are still trying to push their products to try to seem relevant once bc takes over products arent ready for prime time but exec leadership keeps announcing things and signing agreements that simply wont work maybe they think that by rolling out a bunch of programs that require handholding some peoples jobs will be saved bc hasnt shown any history of that mattering one bit,Negative,
EPAM Systems,2,13/12/2023,solid fundamentals hobbled by overmanagement and fixation on growth,experience consultant,former employee,"Newtown, PA",global crossfunctional team working on diverse set of business challenges that is rooted in software delivery ethos genuinely adept kindhearted folks from varied cultures and backgrounds at the practitioner level corporate responsibility to geopolitical events is noteworthy for its clarity and integrity,massively distributed talent base ultimately controlled by account managers who have insane amounts of control over more experienced practitioners lots of communication yet everything is opaque to most employees highly siloed and cliquish senior management is wellintentioned but not addressing structural issues which is leading to a focus on shinyobject syndrome versus deliver excellence struggles to take crossfunctional integration seriously which puts downward pressure on practitioners to manufacture opportunities with zero authority and minimal agency which works exceptionally well for a handful of folks whove been there for a long time or have plum positions that they protect viciously project work is often never aligned to skill set as much as who likes you or does not career development is an afterthought especially for more specialized or senior folks pay and benefits are average layoffs happen suddenly and quietly with no warning yet arent fully acknowledged by the business internally or externally this undermines senior leadership accomplishments and furthers a cultural mindset of mistrust and scarcity,global crossfunctional team working on diverse set of business challenges that is rooted in software delivery ethos genuinely adept kindhearted folks from varied cultures and backgrounds at the practitioner level corporate responsibility to geopolitical events is noteworthy for its clarity and integrity massively distributed talent base ultimately controlled by account managers who have insane amounts of control over more experienced practitioners lots of communication yet everything is opaque to most employees highly siloed and cliquish senior management is wellintentioned but not addressing structural issues which is leading to a focus on shinyobject syndrome versus deliver excellence struggles to take crossfunctional integration seriously which puts downward pressure on practitioners to manufacture opportunities with zero authority and minimal agency which works exceptionally well for a handful of folks whove been there for a long time or have plum positions that they protect viciously project work is often never aligned to skill set as much as who likes you or does not career development is an afterthought especially for more specialized or senior folks pay and benefits are average layoffs happen suddenly and quietly with no warning yet arent fully acknowledged by the business internally or externally this undermines senior leadership accomplishments and furthers a cultural mindset of mistrust and scarcity,solid fundamentals hobbled by overmanagement and fixation on growth // global crossfunctional team working on diverse set of business challenges that is rooted in software delivery ethos genuinely adept kindhearted folks from varied cultures and backgrounds at the practitioner level corporate responsibility to geopolitical events is noteworthy for its clarity and integrity massively distributed talent base ultimately controlled by account managers who have insane amounts of control over more experienced practitioners lots of communication yet everything is opaque to most employees highly siloed and cliquish senior management is wellintentioned but not addressing structural issues which is leading to a focus on shinyobject syndrome versus deliver excellence struggles to take crossfunctional integration seriously which puts downward pressure on practitioners to manufacture opportunities with zero authority and minimal agency which works exceptionally well for a handful of folks whove been there for a long time or have plum positions that they protect viciously project work is often never aligned to skill set as much as who likes you or does not career development is an afterthought especially for more specialized or senior folks pay and benefits are average layoffs happen suddenly and quietly with no warning yet arent fully acknowledged by the business internally or externally this undermines senior leadership accomplishments and furthers a cultural mindset of mistrust and scarcity,Negative,
Tencent,2,9/4/2023,good for chinese employees,senior researcher,former employee more than 3 years,"Palo Alto, CA",good compensation free lunch good insurance and benefits,irregular working hours to be in sync with china staff language barrier with china staff stressful env very high nonsense expectations,good compensation free lunch good insurance and benefits irregular working hours to be in sync with china staff language barrier with china staff stressful env very high nonsense expectations,good for chinese employees // good compensation free lunch good insurance and benefits irregular working hours to be in sync with china staff language barrier with china staff stressful env very high nonsense expectations,Negative,
UST,2,30/6/2023,ok i guess,anonymous employee,former employee,"Aliso Viejo, CA",great co workers and decent benefits,high turn over rate overall people are underpaid high pressure environment executives doing shady deals churn and burn atmosphere anyone that is good leaves after being there a short time very india centric as far as policies and procedures,great co workers and decent benefits high turn over rate overall people are underpaid high pressure environment executives doing shady deals churn and burn atmosphere anyone that is good leaves after being there a short time very india centric as far as policies and procedures,ok i guess // great co workers and decent benefits high turn over rate overall people are underpaid high pressure environment executives doing shady deals churn and burn atmosphere anyone that is good leaves after being there a short time very india centric as far as policies and procedures,Negative,
Citrix,2,10/2/2023,citrixcloud software group,lead sales engineer,former employee more than 8 years,"Fort Lauderdale, FL",still have a good virtualization portfolio,was a great company until the buyout and merger into cloud software group focus now is on the top 1000 accounts world wide they have reduced development and rd and i expect them to fall behind competitors with in 23 years,still have a good virtualization portfolio was a great company until the buyout and merger into cloud software group focus now is on the top 1000 accounts world wide they have reduced development and rd and i expect them to fall behind competitors with in 23 years,citrixcloud software group // still have a good virtualization portfolio was a great company until the buyout and merger into cloud software group focus now is on the top 1000 accounts world wide they have reduced development and rd and i expect them to fall behind competitors with in 23 years,Negative,
NCR,2,16/12/2023,average,manager,former employee more than 1 year,"Atlanta, GA",work life balance interactions with a global team who share different experiences,lack of support from management lack of carrer opportunities for advancement,work life balance interactions with a global team who share different experiences lack of support from management lack of carrer opportunities for advancement,average // work life balance interactions with a global team who share different experiences lack of support from management lack of carrer opportunities for advancement,Negative,
Deliveroo,2,25/10/2023,great potential> awful management,business development manager,former employee,"London, England",a lot of room for experimenting and being a large company you are quite anonymous,suffering growing pains huge company trying to hire from the likes of ex amazongoogle but still working how to be efficient,a lot of room for experimenting and being a large company you are quite anonymous suffering growing pains huge company trying to hire from the likes of ex amazongoogle but still working how to be efficient,great potential> awful management // a lot of room for experimenting and being a large company you are quite anonymous suffering growing pains huge company trying to hire from the likes of ex amazongoogle but still working how to be efficient,Negative,
PayPal,2,13/2/2024,product manager,product manager,former employee,"Austin, TX",good stepping stone opportunities for junior pms,burnout culture understaffed highly political compared to other big tech firms,good stepping stone opportunities for junior pms burnout culture understaffed highly political compared to other big tech firms,product manager // good stepping stone opportunities for junior pms burnout culture understaffed highly political compared to other big tech firms,Negative,
Nielsen,2,25/8/2023,marketing organization going down hill,marketing,current employee more than 3 years,"New York, NY",first and foremost the office location in new york was undeniably a bright spot the ny office is situated in a vibrant and convenient area the office provided a pleasant environment for work the surrounding amenities and accessibility added a touch of convenience that was certainly appreciated the provision of quality it equipment demonstrated a commitment to ensuring that employees had the necessary tools to perform their tasks efficiently,nielsen underwent a privatization last year and subsequent largescale layoffs this restructuring resulted in a reduced team size leaving those of us who remained to shoulder an overwhelming workload the aftermath of the layoffs led to an atmosphere of stress pushing us to our limits and unreasonably long working hours its disheartening to witness how the workforce reduction instead of streamlining operations has resulted in an excessive burden on the remaining employees adding to the turmoil is the noticeable presence of a cliquelike culture largely comprised of individuals who had migrated from wells fargo the former workplace of our chief marketing officer cmo a particularly vexing issue was the intricate process of getting things done what should have been straightforward tasks often transformed into arduous journeys due to an overwhelming number of processes and procedures the layers of bureaucracy and red tape are disproportionate to the teams size making even the simplest accomplishments feel like monumental achievements,first and foremost the office location in new york was undeniably a bright spot the ny office is situated in a vibrant and convenient area the office provided a pleasant environment for work the surrounding amenities and accessibility added a touch of convenience that was certainly appreciated the provision of quality it equipment demonstrated a commitment to ensuring that employees had the necessary tools to perform their tasks efficiently nielsen underwent a privatization last year and subsequent largescale layoffs this restructuring resulted in a reduced team size leaving those of us who remained to shoulder an overwhelming workload the aftermath of the layoffs led to an atmosphere of stress pushing us to our limits and unreasonably long working hours its disheartening to witness how the workforce reduction instead of streamlining operations has resulted in an excessive burden on the remaining employees adding to the turmoil is the noticeable presence of a cliquelike culture largely comprised of individuals who had migrated from wells fargo the former workplace of our chief marketing officer cmo a particularly vexing issue was the intricate process of getting things done what should have been straightforward tasks often transformed into arduous journeys due to an overwhelming number of processes and procedures the layers of bureaucracy and red tape are disproportionate to the teams size making even the simplest accomplishments feel like monumental achievements,marketing organization going down hill // first and foremost the office location in new york was undeniably a bright spot the ny office is situated in a vibrant and convenient area the office provided a pleasant environment for work the surrounding amenities and accessibility added a touch of convenience that was certainly appreciated the provision of quality it equipment demonstrated a commitment to ensuring that employees had the necessary tools to perform their tasks efficiently nielsen underwent a privatization last year and subsequent largescale layoffs this restructuring resulted in a reduced team size leaving those of us who remained to shoulder an overwhelming workload the aftermath of the layoffs led to an atmosphere of stress pushing us to our limits and unreasonably long working hours its disheartening to witness how the workforce reduction instead of streamlining operations has resulted in an excessive burden on the remaining employees adding to the turmoil is the noticeable presence of a cliquelike culture largely comprised of individuals who had migrated from wells fargo the former workplace of our chief marketing officer cmo a particularly vexing issue was the intricate process of getting things done what should have been straightforward tasks often transformed into arduous journeys due to an overwhelming number of processes and procedures the layers of bureaucracy and red tape are disproportionate to the teams size making even the simplest accomplishments feel like monumental achievements,Negative,
Hitachi,2,26/1/2023,everyone is leaving,project manager,current employee more than 8 years,"Pittsburgh, PA",none really looking to leave,nobody in us is in charge too much red tape every project is failing,none really looking to leave nobody in us is in charge too much red tape every project is failing,everyone is leaving // none really looking to leave nobody in us is in charge too much red tape every project is failing,Negative,
Tech Mahindra,2,20/1/2024,bloodsuckers,it support analyst,former employee more than 10 years,"Franklin, TN",you get job experience as a benefit,not worth the effort you put into the organization,you get job experience as a benefit not worth the effort you put into the organization,bloodsuckers // you get job experience as a benefit not worth the effort you put into the organization,Negative,
Seagate Technology,2,31/5/2023,work life balance,senior analyst,former employee more than 10 years,"Bloomington, MN",majority of people that work here are fabulous immediate manager didnt micromanage,lack of sharing information between the different sites they say there is life work balance but there isnt also no room for advancement,majority of people that work here are fabulous immediate manager didnt micromanage lack of sharing information between the different sites they say there is life work balance but there isnt also no room for advancement,work life balance // majority of people that work here are fabulous immediate manager didnt micromanage lack of sharing information between the different sites they say there is life work balance but there isnt also no room for advancement,Negative,
Tencent,2,19/5/2022,poorly managed media lab,senior software engineer,current employee more than 1 year,"Palo Alto, CA",not a lot of pros good work free lunch nice office,no sync among managers and higher executive only chinese friendly difficult for nonchinese folks to adjust no joining benefits no relocations no rsus micromanaging odd working timing too much work load,not a lot of pros good work free lunch nice office no sync among managers and higher executive only chinese friendly difficult for nonchinese folks to adjust no joining benefits no relocations no rsus micromanaging odd working timing too much work load,poorly managed media lab // not a lot of pros good work free lunch nice office no sync among managers and higher executive only chinese friendly difficult for nonchinese folks to adjust no joining benefits no relocations no rsus micromanaging odd working timing too much work load,Negative,
Oracle,2,7/2/2024,industry leader,sales representative,current employee more than 3 years,"Austin, TX",size reputation long term success per wall st,turnover live and die by the sword culture management by threat culture,size reputation long term success per wall st turnover live and die by the sword culture management by threat culture,industry leader // size reputation long term success per wall st turnover live and die by the sword culture management by threat culture,Negative,
Gemalto,2,24/5/2017,struggling to adapt,marketing,current employee more than 3 years,"Baltimore, MD",worklife balance is good work from home flexibility promotion from within this is a doublesided sword as they pay internal promotions less than they would external hires relocation flexibility,lack of organization slow to adapt different departments get to play by different rules lots of bureaucratic red tape and policies that hinder efficiency prefer to work a lot of departments on skeleton crews which create frustrations and inefficiency but keep overhead costs lower annual raises are low 401k match was lessened health insurance went up in price and quality went down still trying to find financial traction due to lower revenue from saturated chip market employee grievances are heard but never addressed low morale for a lot of teams,worklife balance is good work from home flexibility promotion from within this is a doublesided sword as they pay internal promotions less than they would external hires relocation flexibility lack of organization slow to adapt different departments get to play by different rules lots of bureaucratic red tape and policies that hinder efficiency prefer to work a lot of departments on skeleton crews which create frustrations and inefficiency but keep overhead costs lower annual raises are low 401k match was lessened health insurance went up in price and quality went down still trying to find financial traction due to lower revenue from saturated chip market employee grievances are heard but never addressed low morale for a lot of teams,struggling to adapt // worklife balance is good work from home flexibility promotion from within this is a doublesided sword as they pay internal promotions less than they would external hires relocation flexibility lack of organization slow to adapt different departments get to play by different rules lots of bureaucratic red tape and policies that hinder efficiency prefer to work a lot of departments on skeleton crews which create frustrations and inefficiency but keep overhead costs lower annual raises are low 401k match was lessened health insurance went up in price and quality went down still trying to find financial traction due to lower revenue from saturated chip market employee grievances are heard but never addressed low morale for a lot of teams,Negative,
Netflix,2,31/10/2023,hire and fire culture,senior software engineer,former employee,"Los Gatos, CA",transparency work life balance smart colleagues great office great food,always living in fear toxic management style mistakes will be beaten multiple times,transparency work life balance smart colleagues great office great food always living in fear toxic management style mistakes will be beaten multiple times,hire and fire culture // transparency work life balance smart colleagues great office great food always living in fear toxic management style mistakes will be beaten multiple times,Negative,
IBM,2,31/1/2024,2024 dont care about employees anymore,associate partner,current employee more than 8 years,"London, England",i have tenure some good benefits and clients that i have established relationships with,the company provides zero support recognition bonus you have to win and deliver for your clients all by yourself may as well work for yourself thankless culture toxic senior leadership in consulting i have to work really hard to shield clients from the shocking management style that is now the norm company moves goal posts substantially each year with zero consultation do more no help will be provided get on with it,i have tenure some good benefits and clients that i have established relationships with the company provides zero support recognition bonus you have to win and deliver for your clients all by yourself may as well work for yourself thankless culture toxic senior leadership in consulting i have to work really hard to shield clients from the shocking management style that is now the norm company moves goal posts substantially each year with zero consultation do more no help will be provided get on with it,2024 dont care about employees anymore // i have tenure some good benefits and clients that i have established relationships with the company provides zero support recognition bonus you have to win and deliver for your clients all by yourself may as well work for yourself thankless culture toxic senior leadership in consulting i have to work really hard to shield clients from the shocking management style that is now the norm company moves goal posts substantially each year with zero consultation do more no help will be provided get on with it,Negative,
CSC,2,17/2/2009,csc more intelligence at the lower levels lack of strategic information from above,it manager,current employee,"Schaumburg, IL",csc is a large company with many diverse accounts and lines of service there are opportunities to move around if you know someone or if you have made an impression on a service delivery manager,csc negiotates bad unprofitable contracts and do not know how to generate new revenue from their existing customer base many of there large accounts are in constant dispute over the contact and billing they also do not invest money into thier employees and lack a very intelligent offshoring plan just dump a percent of onshore employees across all accounts with no understand of how they will get work done causes end customer headaches they also have a huge turnover rate of off shore employees which could be standard but also could be because most of the work given to offshore components have no opportunities for career growth also there is strong lack of respect and mistreatment to offshore worker there still seen as a threat then as a means to improve the skills and gworth of the on shore workers,csc is a large company with many diverse accounts and lines of service there are opportunities to move around if you know someone or if you have made an impression on a service delivery manager csc negiotates bad unprofitable contracts and do not know how to generate new revenue from their existing customer base many of there large accounts are in constant dispute over the contact and billing they also do not invest money into thier employees and lack a very intelligent offshoring plan just dump a percent of onshore employees across all accounts with no understand of how they will get work done causes end customer headaches they also have a huge turnover rate of off shore employees which could be standard but also could be because most of the work given to offshore components have no opportunities for career growth also there is strong lack of respect and mistreatment to offshore worker there still seen as a threat then as a means to improve the skills and gworth of the on shore workers,csc more intelligence at the lower levels lack of strategic information from above // csc is a large company with many diverse accounts and lines of service there are opportunities to move around if you know someone or if you have made an impression on a service delivery manager csc negiotates bad unprofitable contracts and do not know how to generate new revenue from their existing customer base many of there large accounts are in constant dispute over the contact and billing they also do not invest money into thier employees and lack a very intelligent offshoring plan just dump a percent of onshore employees across all accounts with no understand of how they will get work done causes end customer headaches they also have a huge turnover rate of off shore employees which could be standard but also could be because most of the work given to offshore components have no opportunities for career growth also there is strong lack of respect and mistreatment to offshore worker there still seen as a threat then as a means to improve the skills and gworth of the on shore workers,Negative,
